Отметка времени,Ваш пол,Сколько вам было лет на момент поступления ,В каком городе вы проживали на момент поступления? Введите полное наименование города,Поступаете после 11 класса или после колледжа,Какой у вас был средний балл аттестата,Какие предметы вы любили и хотели изучать в школе,Какие предметы были углубленными,Какие предм,Какие дополнительные предметы (помимо математики и русского языка) вы сдавали на ЕГЭ ,Математика(Количество баллов),Русский(Количество баллов),Первый предмет на выбор(Количество баллов),Второй предмет на выбор (Если не сдавали пропустите вопрос),Насколько хорошо вы знаете английский,"Был ли у вас опыт работы в каких областях, приближенных к выбранному направлению? Если был напишите область, в противном случае оставьте вопрос пустым",Ваш факультет в ВУЗе,Ваше направление,"Насколько вы довольны программой (или были довольны, если перевелись) выбранного направления. Очень просим дать объективный ответ именно по поводу программы обучения, не опираясь на личный опыт, преподавательский или студенческий состав!","Насколько сильно вы хотели принимать участие в различных общественных, спортивных мероприятиях, и прочих внеучебных активностях",Насколько вы спортивный человек,Насколько вам было важно поступить на бюджет,Ходили ли вы на день открытых дверей в МТУСИ,Как вы оцениваете свои способности в самоорганизации учебного процесса,Занимались ли вы с репетиторами во время обучения в старших классах,"Углубленное изучение каких предметов у вас было в школе(Если не было, пропустите вопрос)",Какие дополнительные предметы (помимо математики и русского языка) вы сдавали на ЕГЭ,Были ли у вас успехи в олимпиадах по техническим предметам серьезного уровня (региональные и выше) в старших классах,Чем из перечисленного ниже вы интересовались до поступления в университет,Как много времени вы готовы уделять на саморазвитие в интересующей вас предметной области? (Помимо учебных часов) ,Как вы поступали?,Был ли у вас опыт работы при,Если сдавали больше предметов добавьте баллы через запятую,"Сколько получили за каждый предмет, введите в той же последовательности, что и выбрали",,,Вопрос без заголовка
20.03.2023 14:53:29,Женский,18,Железнодорожный,После 11 класса,4.5,"Биология, Информатика",,,,58,82,62,,Могу общаться в повседневных ситуациях,,ИТ (Информационные технологии),02.03.02 Фундаментальная информатика и информационные технологии,7,Готов сходить на пару заинтересовавших мероприятий,Люблю физические нагрузки в умеренном количестве,Не очень важно,Да,Изучу всё связанное с темой предмета,Да,"Математика, Физика, Информатика",Информатика,Нет,Программирование,Несколько часов в неделю,,,,,,,
20.03.2023 14:54:15,Мужской,18,Москва ,После 11 класса,4,"Русский язык, Математика, Информатика",,,,74,76,88,,"Свободно общаюсь, глубоко знаю грамматику",,ИТ (Информационные технологии),02.03.02 Фундаментальная информатика и информационные технологии,3,Готов сходить на пару заинтересовавших мероприятий,Люблю физические нагрузки в умеренном количестве,Не очень важно,Нет,Максимум - выполнение дома заданий от преподавателя,Нет,,Информатика,Нет,Программирование,Около 10 часов в неделю,,,,,,,
20.03.2023 14:54:18,Мужской,18,москва,После 11 класса,4.5,"Математика, Информатика",,,,80,76,88,,Могу общаться в повседневных ситуациях,,ИТ (Информационные технологии),02.03.02 Фундаментальная информатика и информационные технологии,7,Только учеба,Люблю физические нагрузки в умеренном количестве,Обязательно,Да,Готов почитать несколько статей по теме предмета,Да,,Информатика,Нет,Программирование,Несколько часов в неделю,,,,,,,
20.03.2023 14:54:19,Мужской,17,Михайловск ,После 11 класса,4,"Математика, Иностранный язык",,,,40,69,46,,Могу общаться в повседневных ситуациях,,ИТ (Информационные технологии),02.03.02 Фундаментальная информатика и информационные технологии,10,Только учеба,Люблю физические нагрузки в умеренном количестве,Не принципиально,Нет,Готов почитать несколько статей по теме предмета,Да,"Русский язык, Математика",Информатика,Нет,Программирование,Несколько часов в неделю,,,,,,,
20.03.2023 14:54:20,Мужской,18,Москва,После 11 класса,4.5,"Русский язык, Математика, Литература, Иностранный язык, Информатика",,,,90,89,88,55,Могу общаться в повседневных ситуациях,,ИТ (Информационные технологии),02.03.02 Фундаментальная информатика и информационные технологии,5,Готов сходить на пару заинтересовавших мероприятий,Регулярно занимаюсь любимым видом спорта / в тренажерном зале,Обязательно,Нет,Готов почитать несколько статей по теме предмета,Нет,"Математика, Физика, Информатика","Физика, Информатика",Нет,Программирование,Больше 10 часов в неделю,,,,,,,
20.03.2023 14:54:28,Мужской,18,Киров,После 11 класса,4,"Математика, Информатика",,,,84,94,83,,Могу общаться в повседневных ситуациях,,ИТ (Информационные технологии),02.03.02 Фундаментальная информатика и информационные технологии,8,Готов сходить на пару заинтересовавших мероприятий,Регулярно занимаюсь любимым видом спорта / в тренажерном зале,Обязательно,Нет,Готов почитать несколько статей по теме предмета,Да,"Математика, Физика",Информатика,Да,Программирование,Больше 10 часов в неделю,,,,,,,
20.03.2023 14:55:20,Женский,17,Москва,После 11 класса,3.5,"Математика, Иностранный язык, Физика, География, Информатика",,,,64,78,62,,Могу читать несложные диалоги,,ИТ (Информационные технологии),02.03.02 Фундаментальная информатика и информационные технологии,6,Готов сходить на пару заинтересовавших мероприятий,Предпочитаю лишний раз не двигаться,Не принципиально,Нет,Максимум - выполнение дома заданий от преподавателя,Да,"Математика, Иностранный язык, Физика",Информатика,Нет,Программирование,Минимальное количество времени,,,,,,,
20.03.2023 14:55:46,Мужской,18,Домодедово ,После 11 класса,4,"История, География, Информатика",,,,52,61,62,,Обладаю базовым словарным запасом,,ИТ (Информационные технологии),02.03.02 Фундаментальная информатика и информационные технологии,10,Готов сходить на пару заинтересовавших мероприятий,Регулярно занимаюсь любимым видом спорта / в тренажерном зале,Не принципиально,Да,Готов почитать несколько статей по теме предмета,Да,"История, Обществознание",Информатика,Нет,"Программирование, Компьютерное 3D-моделирование",Несколько часов в неделю,,,,,,,
20.03.2023 14:56:35,Мужской,18,Королёв,После 11 класса,4.5,История,,,,58,71,40,,"Могу коммуницировать с носителями, частично знаю деловую речь",,ИТ (Информационные технологии),02.03.02 Фундаментальная информатика и информационные технологии,3,Готов сходить на пару заинтересовавших мероприятий,Люблю физические нагрузки в умеренном количестве,Не принципиально,Нет,Готов почитать несколько статей по теме предмета,Да,,Информатика,Нет,Компьютерное 3D-моделирование,Несколько часов в неделю,,,,,,,
20.03.2023 14:56:49,Мужской,17,Москва,После 11 класса,5,"Русский язык, Иностранный язык, История, Обществознание, Информатика",,,,78,91,85,,"Могу коммуницировать с носителями, частично знаю деловую речь",,ИТ (Информационные технологии),02.03.02 Фундаментальная информатика и информационные технологии,8,По возможности хотел бы участвовать регулярно,Предпочитаю лишний раз не двигаться,Важно,Да,Готов почитать несколько статей по теме предмета,Нет,Информатика,Информатика,Нет,"Программирование, Компьютерное 3D-моделирование",Около 10 часов в неделю,,,,,,,
20.03.2023 14:56:50,Женский,18,Ногинск,После 11 класса,5,"Русский язык, Математика, Информатика",,,,27,78,58,,Могу читать несложные диалоги,,ИТ (Информационные технологии),02.03.02 Фундаментальная информатика и информационные технологии,6,Только учеба,Люблю физические нагрузки в умеренном количестве,Не принципиально,Нет,Максимум - выполнение дома заданий от преподавателя,Да,"Химия, Биология",Информатика,Да,"Программирование, Инженерная деятельность",Около 10 часов в неделю,,,,,,,
20.03.2023 14:57:05,Мужской,19,Москва,После 11 класса,4.5,"Математика, Химия, Физика, Информатика",,,,30,72,93,,Могу читать несложные диалоги,,ИТ (Информационные технологии),02.03.02 Фундаментальная информатика и информационные технологии,8,Готов сходить на пару заинтересовавших мероприятий,Люблю физические нагрузки в умеренном количестве,Важно,Нет,Готов почитать несколько статей по теме предмета,Да,"Математика, Информатика","Физика, Информатика",Да,"Программирование, Компьютерное 3D-моделирование, Робототехника",Около 10 часов в неделю,,,,,,,
20.03.2023 14:57:13,Мужской,18,Балашиха,После 11 класса,4,"Математика, Информатика",,,,68,96,80,,Могу читать несложные диалоги,,ИТ (Информационные технологии),02.03.02 Фундаментальная информатика и информационные технологии,6,Только учеба,Регулярно занимаюсь любимым видом спорта / в тренажерном зале,Важно,Нет,Максимум - выполнение дома заданий от преподавателя,Да,"Математика, Физика, Информатика",Информатика,Нет,Программирование,Несколько часов в неделю,,,,,,,
20.03.2023 14:57:21,Женский,17,москва ,После 11 класса,5,Информатика,,,,50,75,80,-,Могу общаться в повседневных ситуациях,,ИТ (Информационные технологии),02.03.02 Фундаментальная информатика и информационные технологии,5,Готов сходить на пару заинтересовавших мероприятий,Регулярно занимаюсь любимым видом спорта / в тренажерном зале,Не принципиально,Нет,Максимум - выполнение дома заданий от преподавателя,Да,Иностранный язык,Информатика,Нет,"Программирование, Инженерная деятельность",Больше 10 часов в неделю,,,,,,,
20.03.2023 14:58:16,Женский,18,Старый Оскол,После 11 класса,4.5,"Математика, Литература, Информатика",,,,84,87,47,83,Обладаю базовым словарным запасом,,ИТ (Информационные технологии),02.03.02 Фундаментальная информатика и информационные технологии,9,По возможности хотел бы участвовать регулярно,Регулярно занимаюсь любимым видом спорта / в тренажерном зале,Важно,Да,Готов почитать несколько статей по теме предмета,Да,"Математика, Физика, Информатика","Физика, Информатика",Нет,Программирование,Около 10 часов в неделю,,,,,,,
20.03.2023 14:58:47,Женский,19,Москва,После 11 класса,5,Информатика,,,,78,91,89,79,"Могу коммуницировать с носителями, частично знаю деловую речь",,ИТ (Информационные технологии),02.03.02 Фундаментальная информатика и информационные технологии,9,Готов сходить на пару заинтересовавших мероприятий,Люблю физические нагрузки в умеренном количестве,Обязательно,Нет,Готов почитать несколько статей по теме предмета,Да,"Математика, Физика, Информатика","Физика, Информатика",Нет,"Программирование, Робототехника",Несколько часов в неделю,,,,,,,
20.03.2023 15:01:04,Мужской,18,Москва,После 11 класса,4,"Математика, Физика, Астрономия, Информатика",,,,66,69,54,48,Могу общаться в повседневных ситуациях,,ИТ (Информационные технологии),02.03.02 Фундаментальная информатика и информационные технологии,7,Готов сходить на пару заинтересовавших мероприятий,Предпочитаю лишний раз не двигаться,Важно,Нет,Готов почитать несколько статей по теме предмета,Нет,"Математика, Физика","Физика, Информатика",Нет,"Программирование, Компьютерное 3D-моделирование, Робототехника",Больше 10 часов в неделю,,,,,,,
20.03.2023 15:02:29,Женский,20,Санкт-Петербург ,После 1 курса СПБГМТУ ,4,Математика,,,,90,96,93,,Могу общаться в повседневных ситуациях,,ИТ (Информационные технологии),02.03.02 Фундаментальная информатика и информационные технологии,10,Только учеба,Регулярно занимаюсь любимым видом спорта / в тренажерном зале,Обязательно,Нет,Максимум - выполнение дома заданий от преподавателя,Да,,Информатика,Нет,,Больше 10 часов в неделю,Баллы ЕГЭ,,,,,,
20.03.2023 15:05:09,Мужской,17,Москва,После 11 класса,4,"Русский язык, Математика, Информатика",,,,74,72,70,,Могу читать несложные диалоги,,ИТ (Информационные технологии),02.03.02 Фундаментальная информатика и информационные технологии,7,Готов сходить на пару заинтересовавших мероприятий,Предпочитаю лишний раз не двигаться,Не очень важно,Нет,Готов почитать несколько статей по теме предмета,Нет,"Математика, Информатика",Информатика,Нет,"Программирование, Компьютерное 3D-моделирование",Больше 10 часов в неделю,,,,,,,
20.03.2023 15:05:31,Мужской,18,Киров,После 11 класса,4,"Русский язык, Математика, Информатика",,,,84,96,88,,Обладаю базовым словарным запасом,,ИТ (Информационные технологии),02.03.02 Фундаментальная информатика и информационные технологии,4,Готов сходить на пару заинтересовавших мероприятий,Регулярно занимаюсь любимым видом спорта / в тренажерном зале,Обязательно,Нет,Готов почитать несколько статей по теме предмета,Да,"Математика, Информатика",Информатика,Нет,Программирование,Несколько часов в неделю,Баллы ЕГЭ,,,,,,
20.03.2023 15:05:37,Женский,18,Калининград ,После 11 класса,5,Математика,,,,84,82,94,,Могу читать несложные диалоги,,ИТ (Информационные технологии),02.03.02 Фундаментальная информатика и информационные технологии,3,Готов сходить на пару заинтересовавших мероприятий,Регулярно занимаюсь любимым видом спорта / в тренажерном зале,Обязательно,Да,Готов почитать несколько статей по теме предмета,Да,"Математика, Физика, Информатика",Информатика,Нет,Компьютерное 3D-моделирование,Больше 10 часов в неделю,Баллы ЕГЭ,,,,,,
20.03.2023 15:07:01,Мужской,18,Киров,После 11 класса,5,"Математика, Литература, Информатика",,,,80,96,90,,Могу общаться в повседневных ситуациях,,ИТ (Информационные технологии),02.03.02 Фундаментальная информатика и информационные технологии,6,Готов сходить на пару заинтересовавших мероприятий,Регулярно занимаюсь любимым видом спорта / в тренажерном зале,Обязательно,Нет,Готов почитать несколько статей по теме предмета,Нет,Русский язык,Информатика,Нет,Программирование,Больше 10 часов в неделю,Баллы ЕГЭ,,,,,,
20.03.2023 15:07:31,Мужской,17,Махачкала,Поступаю во второй раз после отчисления из другого ВУЗа,4.5,"Математика, Иностранный язык, Информатика",,,,88,87,84,,"Свободно общаюсь, глубоко знаю грамматику",,ИТ (Информационные технологии),02.03.02 Фундаментальная информатика и информационные технологии,6,Только учеба,Предпочитаю лишний раз не двигаться,Обязательно,Нет,Максимум - выполнение дома заданий от преподавателя,Нет,"Иностранный язык, Информатика",Информатика,Да,Программирование,Больше 10 часов в неделю,Баллы ЕГЭ,,,,,,
20.03.2023 15:07:37,Мужской,18,Москва,После 11 класса,4,"Математика, Информатика",,,,74,60,70,56,Могу общаться в повседневных ситуациях,,ИТ (Информационные технологии),02.03.02 Фундаментальная информатика и информационные технологии,8,Готов сходить на пару заинтересовавших мероприятий,Нахожусь на профессиональном / полу-профессиональном уровне в своем виде спорта,Важно,Да,Максимум - выполнение дома заданий от преподавателя,Да,"Математика, Информатика","Физика, Информатика",Нет,"Программирование, Робототехника, Инженерная деятельность",Несколько часов в неделю,Баллы ЕГЭ,,,,,,
20.03.2023 15:07:42,Мужской,18,Москва,После 11 класса,4,"Математика, Информатика",,,,74,60,70,56,Могу общаться в повседневных ситуациях,,ИТ (Информационные технологии),02.03.02 Фундаментальная информатика и информационные технологии,8,Готов сходить на пару заинтересовавших мероприятий,Нахожусь на профессиональном / полу-профессиональном уровне в своем виде спорта,Важно,Да,Максимум - выполнение дома заданий от преподавателя,Да,"Математика, Информатика","Физика, Информатика",Нет,"Программирование, Робототехника, Инженерная деятельность",Несколько часов в неделю,Баллы ЕГЭ,,,,,,
20.03.2023 15:10:00,Мужской,18,Москва,После 11 класса,4.5,"Русский язык, Математика, Литература, История, Биология, География, Обществознание, Информатика",,,,56,55,43,53,Могу читать несложные диалоги,,ИТ (Информационные технологии),02.03.02 Фундаментальная информатика и информационные технологии,5,"Все возможные мероприятия, на которые хватает времени",Люблю физические нагрузки в умеренном количестве,Важно,Нет,Готов почитать несколько статей по теме предмета,Нет,"Математика, Обществознание","Обществознание, Информатика",Нет,Компьютерное 3D-моделирование,Около 10 часов в неделю,Баллы ЕГЭ,,,,,,
20.03.2023 15:14:09,Мужской,18,Москва,После 11 класса,4.5,"История, Обществознание, Информатика",,,,64,80,43,,Могу читать несложные диалоги,,ИТ (Информационные технологии),02.03.02 Фундаментальная информатика и информационные технологии,8,Готов сходить на пару заинтересовавших мероприятий,Люблю физические нагрузки в умеренном количестве,Не очень важно,Да,Изучу всё связанное с темой предмета,Нет,Информатика,Информатика,Нет,"Программирование, Компьютерное 3D-моделирование",Больше 10 часов в неделю,Баллы ЕГЭ,,,,,,
20.03.2023 15:14:50,Мужской,17,Суражский район ,После 11 класса,4.5,"Математика, Обществознание",,,,64,69,78,,Могу читать несложные диалоги,,СиСС (Сети и системы связи),11.03.02 Инфокоммуникационные технологии и системы связи (СиСС),5,Готов сходить на пару заинтересовавших мероприятий,Люблю физические нагрузки в умеренном количестве,Обязательно,Нет,Готов почитать несколько статей по теме предмета,Нет,,Информатика,Нет,Программирование,Несколько часов в неделю,Баллы ЕГЭ,,,,,,
20.03.2023 15:15:40,Мужской,18,Москва,После 11 класса,4,"Астрономия, Информатика",,,,60,60,50,,Могу общаться в повседневных ситуациях,,ИТ (Информационные технологии),02.03.02 Фундаментальная информатика и информационные технологии,7,Готов сходить на пару заинтересовавших мероприятий,Люблю физические нагрузки в умеренном количестве,Не очень важно,Нет,Готов почитать несколько статей по теме предмета,Нет,Информатика,Информатика,Нет,"Программирование, Компьютерное 3D-моделирование, Робототехника, Эксперименты (лабораторные опыты) связанные с химией/физикой",Несколько часов в неделю,,,,,,,
20.03.2023 15:15:41,Мужской,17,Вязники,После 11 класса,4.5,"Математика, Информатика",,,,80,87,90,,Могу общаться в повседневных ситуациях,,ИТ (Информационные технологии),02.03.02 Фундаментальная информатика и информационные технологии,4,Только учеба,Регулярно занимаюсь любимым видом спорта / в тренажерном зале,Важно,Нет,Максимум - выполнение дома заданий от преподавателя,Да,"Русский язык, Литература, История, Обществознание",Информатика,Нет,Программирование,Больше 10 часов в неделю,Баллы ЕГЭ,,,,,,
20.03.2023 15:16:18,Мужской,18,Москва,После 11 класса,4,"Математика, Информатика",,,,81,72,90,,Могу читать несложные диалоги,,ИТ (Информационные технологии),02.03.02 Фундаментальная информатика и информационные технологии,5,Готов сходить на пару заинтересовавших мероприятий,Предпочитаю лишний раз не двигаться,Не принципиально,Нет,Готов почитать несколько статей по теме предмета,Нет,"Математика, Физика",Информатика,Нет,"Программирование, Компьютерное 3D-моделирование",Больше 10 часов в неделю,Баллы ЕГЭ,,,,,,
20.03.2023 15:17:04,Мужской,17,Буденновск,После 11 класса,4.5,Математика,,,,84,80,88,,Могу читать несложные диалоги,,ИТ (Информационные технологии),09.03.02 Информационные системы и технологии,4,Готов сходить на пару заинтересовавших мероприятий,Люблю физические нагрузки в умеренном количестве,Обязательно,Нет,Готов почитать несколько статей по теме предмета,Нет,,Информатика,Да,Программирование,Больше 10 часов в неделю,Баллы ЕГЭ,,,,,,
20.03.2023 15:21:43,Мужской,18,Гусь-Хрустальный,После 11 класса,4.5,"Русский язык, Математика, Литература, Иностранный язык, Информатика",,,,84,78,85,,Могу общаться в повседневных ситуациях,,ИТ (Информационные технологии),09.03.02 Информационные системы и технологии,7,Готов сходить на пару заинтересовавших мероприятий,Регулярно занимаюсь любимым видом спорта / в тренажерном зале,Обязательно,Нет,Максимум - выполнение дома заданий от преподавателя,Нет,"Математика, Информатика",Информатика,Нет,Программирование,Около 10 часов в неделю,Баллы ЕГЭ,,,,,,
20.03.2023 15:27:53,Мужской,18,Орехово-Зуево ,После 11 класса,5,"География, Обществознание, Информатика",,,,78,89,90,,Могу общаться в повседневных ситуациях,,ИТ (Информационные технологии),02.03.02 Фундаментальная информатика и информационные технологии,3,Готов сходить на пару заинтересовавших мероприятий,Люблю физические нагрузки в умеренном количестве,Важно,Нет,Готов почитать несколько статей по теме предмета,Да,,Информатика,Нет,Программирование,Минимальное количество времени,Баллы ЕГЭ,,,,,,
20.03.2023 15:29:10,Женский,18,Москва ,Перепоступление,5,"Математика, Физика, Информатика",,,,82,94,93,,Могу читать несложные диалоги,,ИТ (Информационные технологии),02.03.02 Фундаментальная информатика и информационные технологии,9,Только учеба,Люблю физические нагрузки в умеренном количестве,Обязательно,Нет,Готов почитать несколько статей по теме предмета,Да,,Информатика,Нет,"Программирование, Компьютерное 3D-моделирование",Несколько часов в неделю,Баллы ЕГЭ,,,,,,
20.03.2023 15:30:01,Мужской,17,Дербент,После 11 класса,5,"Математика, Физика, Информатика",,,,86,87,81,83,Могу общаться в повседневных ситуациях,,ИТ (Информационные технологии),02.03.02 Фундаментальная информатика и информационные технологии,7,Готов сходить на пару заинтересовавших мероприятий,Люблю физические нагрузки в умеренном количестве,Важно,Нет,Максимум - выполнение дома заданий от преподавателя,Да,,"Физика, Информатика",Нет,Программирование,Несколько часов в неделю,Баллы ЕГЭ,,,,,,
20.03.2023 15:33:19,Мужской,17,Элиста,После 11 класса,4,"Иностранный язык, Информатика",,,,76,80,64,87,Могу общаться в повседневных ситуациях,,СиСС (Сети и системы связи),11.03.02 Инфокоммуникационные технологии и системы связи (СиСС),6,Готов сходить на пару заинтересовавших мероприятий,Люблю физические нагрузки в умеренном количестве,Не принципиально,Нет,Готов почитать несколько статей по теме предмета,Да,История,"Иностранный язык, Информатика",Нет,"Программирование, Компьютерное 3D-моделирование, Робототехника",Несколько часов в неделю,Баллы ЕГЭ,,,,,,
20.03.2023 15:34:45,Женский,17,Москва ,После 11 класса,4.5,"Русский язык, Математика, Физика, Информатика",,,,78,89,89,78,Знаю примерно на уровне носителя языка,,РиТ (Радио и телевидение),11.03.02 Инфокоммуникационные технологии и системы связи (РиТ),10,Готов сходить на пару заинтересовавших мероприятий,Предпочитаю лишний раз не двигаться,Важно,Нет,Максимум - выполнение дома заданий от преподавателя,Нет,"Математика, Информатика",Информатика,Да,"Программирование, Инженерная деятельность",Около 10 часов в неделю,Баллы ЕГЭ,,,,,,
20.03.2023 15:35:03,Женский,19,Подольск,После 11 класса,4.5,"Математика, Литература, Физика",,,,72,78,72,,Могу читать несложные диалоги,,РиТ (Радио и телевидение),11.03.02 Инфокоммуникационные технологии и системы связи (РиТ),6,Готов сходить на пару заинтересовавших мероприятий,Люблю физические нагрузки в умеренном количестве,Обязательно,Нет,Максимум - выполнение дома заданий от преподавателя,Нет,,Физика,Нет,Инженерная деятельность,Около 10 часов в неделю,Баллы ЕГЭ,,,,,,
20.03.2023 15:35:06,Мужской,18,Москва,После 11 класса,4.5,"Математика, Иностранный язык, География, Астрономия, Обществознание, Информатика",,,,74,70,72,,"Свободно общаюсь, глубоко знаю грамматику",,РиТ (Радио и телевидение),11.03.02 Инфокоммуникационные технологии и системы связи (РиТ),8,"Все возможные мероприятия, на которые хватает времени",Люблю физические нагрузки в умеренном количестве,Обязательно,Да,Готов почитать несколько статей по теме предмета,Нет,"Математика, Иностранный язык",Информатика,Да,"Программирование, Компьютерное 3D-моделирование, Робототехника, Эксперименты (лабораторные опыты) связанные с химией/физикой",Несколько часов в неделю,Баллы ЕГЭ,,,,,,
20.03.2023 15:35:55,Женский,17,Калуга ,После 11 класса,5,"Математика, Химия, Физика, География, Астрономия, Информатика",,,,76,80,64,,Могу читать несложные диалоги,,РиТ (Радио и телевидение),11.03.02 Инфокоммуникационные технологии и системы связи (РиТ),8,Готов сходить на пару заинтересовавших мероприятий,Регулярно занимаюсь любимым видом спорта / в тренажерном зале,Обязательно,Да,Максимум - выполнение дома заданий от преподавателя,Да,"Математика, Физика, Информатика",Физика,Нет,Эксперименты (лабораторные опыты) связанные с химией/физикой,Минимальное количество времени,Баллы ЕГЭ,,,,,,
20.03.2023 15:36:19,Женский,18,Санк-Петербург ,После 11 класса,4.5,"Математика, Обществознание, Информатика",,,,78,85,74,75,Могу общаться в повседневных ситуациях,,РиТ (Радио и телевидение),11.03.02 Инфокоммуникационные технологии и системы связи (РиТ),2,Готов сходить на пару заинтересовавших мероприятий,Регулярно занимаюсь любимым видом спорта / в тренажерном зале,Важно,Нет,Изучу всё связанное с темой предмета,Да,"Математика, Обществознание, Информатика","Обществознание, Информатика",Да,Программирование,Несколько часов в неделю,Баллы ЕГЭ,,,,,,
20.03.2023 15:36:23,Мужской,18,Москва ,После 11 класса,4.5,"Иностранный язык, География, Обществознание, Информатика",,,,64,82,41,78,Могу общаться в повседневных ситуациях,,ИТ (Информационные технологии),02.03.02 Фундаментальная информатика и информационные технологии,3,Готов сходить на пару заинтересовавших мероприятий,Регулярно занимаюсь любимым видом спорта / в тренажерном зале,Важно,Нет,Максимум - выполнение дома заданий от преподавателя,Нет,Иностранный язык,"Физика, Информатика",Нет,"Программирование, Компьютерное 3D-моделирование",Несколько часов в неделю,Баллы ЕГЭ,,,,,,
20.03.2023 15:36:41,Женский,18,Москва,После 11 класса,3.5,"Русский язык, Литература, Химия, Астрономия, Информатика",,,,58,64,64,,Могу общаться в повседневных ситуациях,,РиТ (Радио и телевидение),11.03.02 Инфокоммуникационные технологии и системы связи (РиТ),5,"Все возможные мероприятия, на которые хватает времени",Регулярно занимаюсь любимым видом спорта / в тренажерном зале,Обязательно,Нет,Готов почитать несколько статей по теме предмета,Нет,"Русский язык, Математика",Информатика,Нет,"Программирование, Робототехника, Инженерная деятельность",Около 10 часов в неделю,Квота,,,,,,
20.03.2023 15:37:37,Мужской,18,с.Ольгинка,После 11 класса,5,"Математика, История, Информатика",,,,80,67,85,,Могу общаться в повседневных ситуациях,,РиТ (Радио и телевидение),11.03.02 Инфокоммуникационные технологии и системы связи (РиТ),5,По возможности хотел бы участвовать регулярно,Люблю физические нагрузки в умеренном количестве,Обязательно,Нет,Готов почитать несколько статей по теме предмета,Да,"Химия, Биология",Информатика,Нет,"Программирование, Инженерная деятельность",Больше 10 часов в неделю,Баллы ЕГЭ,,,,,,
20.03.2023 15:37:54,Мужской,17,Москва,После 11 класса,4,"Математика, Информатика",,,,70,78,64,,"Могу коммуницировать с носителями, частично знаю деловую речь",,РиТ (Радио и телевидение),11.03.02 Инфокоммуникационные технологии и системы связи (РиТ),3,Готов сходить на пару заинтересовавших мероприятий,Люблю физические нагрузки в умеренном количестве,Не принципиально,Нет,Максимум - выполнение дома заданий от преподавателя,Да,Математика,Информатика,Нет,Программирование,Около 10 часов в неделю,Баллы ЕГЭ,,,,,,
20.03.2023 15:38:11,Женский,17,Великие Луки,После 11 класса,5,"Русский язык, Математика, Литература, Иностранный язык, Информатика",,,,72,89,62,,Могу читать несложные диалоги,,РиТ (Радио и телевидение),11.03.02 Инфокоммуникационные технологии и системы связи (РиТ),7,Готов сходить на пару заинтересовавших мероприятий,Люблю физические нагрузки в умеренном количестве,Важно,Нет,Готов почитать несколько статей по теме предмета,Да,,Информатика,Нет,Программирование,Несколько часов в неделю,Баллы ЕГЭ,,,,,,
20.03.2023 15:38:17,Мужской,17,Торопец,После 11 класса,5,"Математика, Литература, Химия, Физика, География, Информатика",,,,64,80,75,,Могу общаться в повседневных ситуациях,,РиТ (Радио и телевидение),11.03.02 Инфокоммуникационные технологии и системы связи (РиТ),8,Готов сходить на пару заинтересовавших мероприятий,Люблю физические нагрузки в умеренном количестве,Обязательно,Нет,Готов почитать несколько статей по теме предмета,Нет,,Информатика,Да,"Программирование, Инженерная деятельность",Больше 10 часов в неделю,Баллы ЕГЭ,,,,,,
20.03.2023 15:38:17,Мужской,17,Старый Оскол,После 11 класса,4.5,"Математика, Физика, Информатика",,,,76,89,72,80,Могу общаться в повседневных ситуациях,,РиТ (Радио и телевидение),11.03.02 Инфокоммуникационные технологии и системы связи (РиТ),2,Только учеба,Регулярно занимаюсь любимым видом спорта / в тренажерном зале,Обязательно,Нет,Максимум - выполнение дома заданий от преподавателя,Да,"Математика, Физика","Физика, Информатика",Нет,Программирование,Больше 10 часов в неделю,Баллы ЕГЭ,,,,,,
